# size | bubble | Insertion | Selection | Merge | Quick
100000 704982704 99999 704982704 815024 1568929
200000 2820030816 199999 2820030816 2545072 4906786
300000 2050177040 299999 2050177040 5223520 10082499
400000 2690388672 399999 2690388672 8883616 17158212
500000 445698416 499999 445698416 13576112 26133925
600000 3906040864 599999 3906040864 19233008 37085350
700000 186514128 699999 186514128 25884096 50036775
800000 2172020096 799999 2172020096 33604288 64988200
900000 1272624176 899999 1272624176 42371472 81939625
1000000 1783293664 999999 1783293664 52256464 100891050
